2020-02-21 20:38:31,136: 'j'
2020-02-21 20:38:34,120: Key.backspace
2020-02-21 20:38:35,039: 'k'
2020-02-21 20:38:35,120: 'a'
2020-02-21 20:38:35,262: 'n'
2020-02-21 20:38:35,318: 'd'
2020-02-21 20:38:35,408: 'a'
2020-02-21 20:38:35,641: 'b'
2020-02-21 20:38:36,202: 'e'
2020-02-21 20:38:36,365: Key.space
2020-02-21 20:38:36,601: 'o'
2020-02-21 20:38:36,807: 'b'
2020-02-21 20:38:36,904: 'a'
2020-02-21 20:38:37,037: Key.space
2020-02-21 20:38:37,479: 'b'
2020-02-21 20:38:37,622: 'i'
2020-02-21 20:38:37,754: 'n'
2020-02-21 20:38:38,052: 'o'
2020-02-21 20:38:38,243: Key.space
2020-02-21 20:38:38,498: 'b'
2020-02-21 20:38:38,671: 'i'
2020-02-21 20:38:38,823: 'l'
2020-02-21 20:38:38,904: 'i'
2020-02-21 20:38:39,197: 'm'
2020-02-21 20:38:39,447: 'u'
2020-02-21 20:38:40,201: Key.space
2020-02-21 20:38:40,356: 'a'
2020-02-21 20:38:40,501: 'm'
2020-02-21 20:38:40,602: 'a'
2020-02-21 20:38:40,821: 'g'
2020-02-21 20:38:40,958: 'e'
2020-02-21 20:38:41,171: 'z'
2020-02-21 20:38:41,397: 'i'
2020-02-21 20:38:41,936: Key.enter
2020-02-21 20:41:28,783: 't'
2020-02-21 20:41:28,861: 'u'
2020-02-21 20:41:29,573: 'd'
2020-02-21 20:41:29,752: 'd'
2020-02-21 20:41:29,925: 'e'
2020-02-21 20:41:30,096: 'm'
2020-02-21 20:41:30,329: 'u'
2020-02-21 20:41:30,465: Key.space
2020-02-21 20:41:31,207: 'n'
2020-02-21 20:41:31,303: 'a'
2020-02-21 20:41:31,529: 't'
2020-02-21 20:41:31,771: 'e'
2020-02-21 20:41:33,773: Key.enter
2020-02-21 20:45:27,569: Key.ctrl_l
2020-02-21 20:45:27,708: Key.alt_l
2020-02-21 20:45:27,908: Key.delete
2020-02-21 20:46:45,485: 'n'
2020-02-21 20:46:45,618: 'o'
2020-02-21 20:46:45,684: 't'
2020-02-21 20:46:45,782: 'e'
2020-02-21 20:46:50,301: 'n'
2020-02-21 20:46:50,412: 'e'
2020-02-21 20:46:50,539: Key.space
2020-02-21 20:46:50,699: 'w'
